City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Erzin,TR,2020-04-20 01:37:35,36.96,36.2,61.0,87,40,2.24
98,Diamantino,BR,2020-04-20 01:37:35,-14.41,-56.45,73.04,80,4,1.83
99,Upernavik,GL,2020-04-20 01:37:36,72.79,-56.15,23.4,88,66,47.96
100,Severo-Yeniseyskiy,RU,2020-04-20 01:36:16,60.37,93.04,35.08,63,92,9.44
101,Lebu,CL,2020-04-20 01:35:21,-37.62,-73.65,55.58,72,100,9.01
102,Petrinja,HR,2020-04-20 01:37:36,45.44,16.29,55.0,76,90,12.75
103,Villa Carlos Paz,AR,2020-04-20 01:37:36,-31.42,-64.5,72.0,72,0,10.29
104,Cabo San Lucas,MX,2020-04-20 01:37:36,22.89,-109.91,73.99,49,5,5.82
105,Laguna,US,2020-04-20 01:36:38,38.42,-121.42,68.0,48,1,5.82
106,Pundaguitan,PH,2020-04-20 01:37:37,6.37,126.17,83.52,76,55,9.57
107,Deputatskiy,RU,2020-04-20 01:37:37,69.3,139.9,9.95,87,26,6.2
108,Vardo,NO,2020-04-20 01:37:37,70.37,31.11,39.24,89,100,25.08
109,Ponta Delgada,PT,2020-04-20 01:37:37,37.73,-25.67,55.4,71,20,6.93
110,Plettenberg Bay,ZA,2020-04-20 01:37:37,-34.05,23.37,64.63,66,0,2.33
111,Karema,TZ,2020-04-20 01:37:38,-6.82,30.44,69.91,68,86,1.88
112,New Norfolk,AU,2020-04-20 01:35:24,-42.78,147.06,62.01,87,98,9.69
113,Sandwick,GB,2020-04-20 01:37:38,60.0,-1.25,44.6,81,0,6.93
114,Nelson Bay,AU,2020-04-20 01:37:38,-32.72,152.15,70.0,49,100,17.22
115,Burnie,AU,2020-04-20 01:37:38,-41.07,145.92,60.01,83,40,11.99
116,Qaanaaq,GL,2020-04-20 01:35:21,77.48,-69.36,9.43,82,39,11.48
117,Boralday,KZ,2020-04-20 01:37:39,43.36,76.86,48.2,70,0,6.71
118,Warri,NG,2020-04-20 01:37:39,5.52,5.75,77.25,88,100,0.11
119,Avarua,CK,2020-04-20 01:35:19,-21.21,-159.78,82.4,69,3,9.17
120,Mindelo,CV,2020-04-20 01:37:39,16.89,-24.98,71.6,68,20,23.04
121,Coihaique,CL,2020-04-20 01:35:48,-45.58,-72.07,41.0,86,42,2.24
122,Huron,US,2020-04-20 01:37:40,41.15,-82.55,43.0,74,78,8.01
123,Chokurdakh,RU,2020-04-20 01:37:40,70.63,147.92,9.68,95,92,11.48
124,Kirensk,RU,2020-04-20 01:37:40,57.79,108.11,30.16,75,29,7.43
125,Aksu,CN,2020-04-20 01:37:40,41.12,80.26,57.87,40,96,1.54
126,Owensboro,US,2020-04-20 01:37:40,37.77,-87.11,57.2,62,20,4.7
127,Butembo,CD,2020-04-20 01:37:40,0.15,29.28,56.75,63,95,0.98
128,Taltal,CL,2020-04-20 01:37:41,-25.4,-70.48,59.65,74,0,1.23
129,Albany,US,2020-04-20 01:35:18,42.6,-73.97,51.01,60,94,10.0
130,Tasiilaq,GL,2020-04-20 01:37:41,65.61,-37.64,32.0,90,100,3.36
131,Bethel,US,2020-04-20 01:37:41,41.37,-73.41,55.4,37,75,12.75
132,Port Lincoln,AU,2020-04-20 01:37:41,-34.73,135.87,62.82,57,93,14.23
133,Ponta Do Sol,PT,2020-04-20 01:37:42,32.67,-17.1,60.01,69,9,8.01
134,Axim,GH,2020-04-20 01:37:42,4.87,-2.24,81.27,82,100,6.38
135,Yinchuan,CN,2020-04-20 01:37:42,38.47,106.27,50.02,23,54,8.57
136,Saldanha,ZA,2020-04-20 01:37:42,-33.01,17.94,59.0,82,92,11.41
137,Trincomalee,LK,2020-04-20 01:37:42,8.57,81.23,86.49,66,40,9.95
138,Mantua,IT,2020-04-20 01:37:43,45.17,10.78,61.0,88,100,3.0
139,Kabanjahe,ID,2020-04-20 01:37:43,3.1,98.49,77.0,94,40,5.82
140,Vila Velha,BR,2020-04-20 01:37:43,-20.33,-40.29,73.4,78,20,3.36
141,Tezu,IN,2020-04-20 01:37:43,27.92,96.17,70.41,64,96,2.06
142,Kamyaran,IR,2020-04-20 01:37:43,34.8,46.94,44.6,87,0,2.24
143,Taoudenni,ML,2020-04-20 01:37:44,22.68,-3.98,75.31,24,0,5.03
144,Yulara,AU,2020-04-20 01:37:44,-25.24,130.99,86.0,28,24,13.87
145,Union,US,2020-04-20 01:37:44,40.63,-74.27,57.2,35,75,10.25
146,Cherskiy,RU,2020-04-20 01:35:51,68.75,161.3,12.81,94,100,8.32
147,Kununurra,AU,2020-04-20 01:37:45,-15.77,128.73,91.4,55,10,4.7
148,Neiafu,TO,2020-04-20 01:37:45,-18.65,-173.98,86.0,70,75,8.05
149,Middelburg,ZA,2020-04-20 01:37:45,-25.78,29.46,52.05,53,0,5.14
150,Sidney,AU,2020-04-20 01:33:11,-33.87,151.21,66.99,68,98,9.17
151,Chapais,CA,2020-04-20 01:37:45,49.78,-74.85,14.0,61,1,8.05
152,Tateyama,JP,2020-04-20 01:37:46,34.98,139.87,51.8,93,75,9.17
153,Walla Walla,US,2020-04-20 01:35:21,46.06,-118.34,66.99,37,1,5.82
154,Mandera,KE,2020-04-20 01:37:46,3.94,41.87,78.01,21,100,1.01
155,Hamilton,US,2020-04-20 01:37:46,39.18,-84.53,52.0,81,1,3.83
156,Miles City,US,2020-04-20 01:37:46,46.41,-105.84,55.4,43,75,4.7
157,Provideniya,RU,2020-04-20 01:35:27,64.38,-173.3,22.59,95,100,13.62
158,Jos,NG,2020-04-20 01:37:47,9.92,8.9,68.4,53,100,6.58
159,Nichinan,JP,2020-04-20 01:37:47,31.6,131.37,69.8,64,40,12.75
160,Sola,VU,2020-04-20 01:37:47,-13.88,167.55,87.8,79,40,5.82
161,Balikpapan,ID,2020-04-20 01:37:47,-1.27,116.83,80.6,88,20,2.24
162,Castro,BR,2020-04-20 01:37:47,-24.79,-50.01,56.52,70,49,5.79
163,Leh,IN,2020-04-20 01:37:48,34.17,77.58,31.24,20,100,2.44
164,Sisimiut,GL,2020-04-20 01:37:48,66.94,-53.67,25.88,89,90,18.84
165,Port Alberni,CA,2020-04-20 01:34:42,49.24,-124.8,61.0,66,44,3.0
166,Kavieng,PG,2020-04-20 01:37:48,-2.57,150.8,84.33,73,30,5.17
167,Dingle,PH,2020-04-20 01:37:48,11.0,122.67,89.37,60,98,13.8
168,Coquimbo,CL,2020-04-20 01:37:48,-29.95,-71.34,59.0,93,90,2.24
169,Waipawa,NZ,2020-04-20 01:37:49,-41.41,175.52,59.0,64,100,7.0
170,Lawrenceburg,US,2020-04-20 01:37:49,38.04,-84.9,53.6,66,75,3.65
171,Mount Gambier,AU,2020-04-20 01:37:49,-37.83,140.77,62.6,59,40,20.8
172,College,US,2020-04-20 01:35:25,64.86,-147.8,48.0,75,90,6.08
173,Nikolskoye,RU,2020-04-20 01:37:49,59.7,30.79,37.0,94,37,4.47
174,Flinders,AU,2020-04-20 01:37:49,-34.58,150.86,64.0,58,98,5.01
175,Richmond,US,2020-04-20 01:35:39,37.55,-77.46,61.0,63,75,3.36
176,Touros,BR,2020-04-20 01:37:50,-5.2,-35.46,77.0,94,40,4.7
177,Tazovskiy,RU,2020-04-20 01:37:50,67.47,78.7,33.84,98,92,9.82
178,Broken Hill,AU,2020-04-20 01:35:36,-31.95,141.43,71.6,28,100,13.87
179,Iwaki,JP,2020-04-20 01:37:50,37.05,140.88,55.0,91,99,12.8
180,Severomorsk,RU,2020-04-20 01:37:51,69.07,33.42,35.6,95,75,6.71
181,Mar Del Plata,AR,2020-04-20 01:35:44,-38.0,-57.56,64.0,87,98,3.36
182,Mitsamiouli,KM,2020-04-20 01:37:51,-11.38,43.28,82.76,72,50,15.19
183,Plymouth,US,2020-04-20 01:37:51,41.83,-70.83,50.0,66,1,17.22
184,Lavrentiya,RU,2020-04-20 01:37:51,65.58,-171.0,19.63,92,100,7.83
185,Sorland,NO,2020-04-20 01:36:16,67.67,12.69,41.11,97,100,15.23
186,Porto Murtinho,BR,2020-04-20 01:37:52,-21.7,-57.88,69.51,54,0,1.81
187,Novovasylivka,UA,2020-04-20 01:37:52,46.83,35.75,46.71,89,100,7.38
188,Kurilsk,RU,2020-04-20 01:35:36,45.23,147.88,37.15,77,100,13.96
189,Chanika,TZ,2020-04-20 01:37:52,-5.42,38.02,66.87,81,95,1.63
190,Severodvinsk,RU,2020-04-20 01:37:52,64.56,39.83,32.0,98,90,4.47
191,Airai,TL,2020-04-20 01:35:22,-8.93,125.41,72.95,43,32,3.47
192,Olafsvik,IS,2020-04-20 01:37:52,64.89,-23.71,44.02,92,99,18.61
193,Christchurch,NZ,2020-04-20 01:35:09,-43.53,172.63,68.0,29,22,9.17
194,Merauke,ID,2020-04-20 01:37:53,-8.47,140.33,89.24,63,22,7.27
195,Carutapera,BR,2020-04-20 01:37:53,-1.2,-46.02,79.12,85,37,6.49
196,Elat,IL,2020-04-20 01:37:53,29.56,34.95,73.4,43,0,13.87
197,Gboko,NG,2020-04-20 01:37:53,7.32,9.0,77.99,73,100,12.86
198,Lasa,IT,2020-04-20 01:37:54,46.62,10.7,46.4,100,75,3.36
199,Vila Franca Do Campo,PT,2020-04-20 01:37:54,37.72,-25.43,55.4,71,20,6.93
200,Padang,ID,2020-04-20 01:33:12,-0.95,100.35,88.18,60,3,1.83
201,Bowen,AU,2020-04-20 01:37:54,-20.02,148.23,86.0,66,73,5.82
202,Cidreira,BR,2020-04-20 01:35:54,-30.18,-50.21,66.7,86,0,15.21
203,Naze,JP,2020-04-20 01:32:55,28.37,129.48,71.6,68,20,14.99
204,Yakima,US,2020-04-20 01:37:55,46.47,-120.67,71.6,26,20,8.05
205,Soe,ID,2020-04-20 01:37:55,-9.86,124.28,79.12,53,2,5.7
206,Gewane,ET,2020-04-20 01:37:55,10.17,40.65,77.83,52,100,3.89
207,Ratnagiri,IN,2020-04-20 01:37:55,16.98,73.3,87.44,61,73,4.83
208,Codrington,AU,2020-04-20 01:37:55,-38.27,141.97,61.39,54,19,21.23
209,Beloyarskiy,RU,2020-04-20 01:37:56,63.71,66.67,37.15,85,31,8.97
210,Mogadishu,SO,2020-04-20 01:34:16,2.04,45.34,82.51,74,99,11.43
211,Alofi,NU,2020-04-20 01:37:56,-19.06,-169.92,84.2,74,2,14.99
212,Carovigno,IT,2020-04-20 01:37:56,40.71,17.66,61.0,90,97,3.0
213,Port Macquarie,AU,2020-04-20 01:37:56,-31.43,152.92,73.99,65,98,1.01
214,Golub-Dobrzyn,PL,2020-04-20 01:37:57,53.11,19.05,36.0,81,0,3.0
215,Hasaki,JP,2020-04-20 01:37:57,35.73,140.83,51.01,93,75,9.17
216,Trelleborg,SE,2020-04-20 01:37:57,55.38,13.16,39.0,80,0,2.24
217,Boyolangu,ID,2020-04-20 01:37:57,-8.12,111.89,85.32,68,99,4.21
218,Sao Filipe,CV,2020-04-20 01:37:57,14.9,-24.5,71.49,72,1,16.69
219,Beloha,MG,2020-04-20 01:37:57,-25.17,45.05,70.11,80,1,14.61
220,Dzilam Gonzalez,MX,2020-04-20 01:34:10,21.28,-88.93,84.99,81,0,13.56
221,Lagoa,PT,2020-04-20 01:37:58,39.05,-27.98,56.79,60,0,13.04
222,Gazojak,TM,2020-04-20 01:37:58,41.19,61.4,73.13,20,20,0.29
223,Broome,US,2020-04-20 01:37:58,42.25,-75.83,46.4,70,90,11.41
224,Preobrazheniye,RU,2020-04-20 01:37:58,42.9,133.91,39.87,89,100,10.38
225,Leeton,AU,2020-04-20 01:37:58,-34.57,146.4,71.01,45,75,20.8
226,Pangnirtung,CA,2020-04-20 01:37:59,66.15,-65.71,-0.81,79,18,6.02
227,Miri,MY,2020-04-20 01:37:59,4.41,114.01,87.8,79,75,4.7
228,Haileybury,CA,2020-04-20 01:37:59,47.45,-79.64,24.8,45,1,9.17
229,Banda Aceh,ID,2020-04-20 01:38:00,5.56,95.32,85.77,71,23,7.27
230,Dikson,RU,2020-04-20 01:38:00,73.51,80.55,33.6,94,86,17.05
231,San Quintin,MX,2020-04-20 01:38:00,30.48,-115.95,59.58,74,79,18.79
232,Richards Bay,ZA,2020-04-20 01:38:00,-28.78,32.04,66.87,80,0,8.88
233,East London,ZA,2020-04-20 01:38:00,-33.02,27.91,76.21,54,0,10.85
234,Port Hardy,CA,2020-04-20 01:38:00,50.7,-127.42,53.6,71,20,10.29
235,Kokoda,PG,2020-04-20 01:38:00,-8.88,147.74,85.69,53,77,0.67
236,Kanchanaburi,TH,2020-04-20 01:38:01,14.63,99.1,92.3,41,2,0.65
237,Saint Anthony,US,2020-04-20 01:34:02,45.02,-93.22,46.99,31,1,8.05
238,Port-Gentil,GA,2020-04-20 01:33:18,-0.72,8.78,79.81,83,100,3.0
239,Taft,IR,2020-04-20 01:38:01,31.75,54.21,59.0,54,66,2.24
240,Novichikha,RU,2020-04-20 01:38:01,52.2,81.39,59.36,35,26,2.01
241,Mahajanga,MG,2020-04-20 01:38:02,-15.72,46.32,77.0,78,40,5.82
242,Blackwater,AU,2020-04-20 01:38:02,-23.58,148.88,82.76,43,25,4.9
243,Aktau,KZ,2020-04-20 01:38:02,43.65,51.2,42.8,100,75,4.47
244,Okhotsk,RU,2020-04-20 01:38:02,59.38,143.3,20.82,82,13,9.82
245,Neyshabur,IR,2020-04-20 01:38:02,36.21,58.8,60.1,31,0,1.41
246,Kovdor,RU,2020-04-20 01:38:03,67.57,30.48,34.97,89,100,9.01
247,Tacoronte,ES,2020-04-20 01:38:03,28.48,-16.41,59.0,87,75,18.34
248,Souillac,MU,2020-04-20 01:38:03,-20.52,57.52,77.0,83,75,12.75
249,Balaipungut,ID,2020-04-20 01:38:03,1.05,101.28,82.4,83,33,6.93
250,Bokaa,BW,2020-04-20 01:38:03,-24.45,26.02,60.8,72,0,6.93
251,Sakaiminato,JP,2020-04-20 01:38:03,35.55,133.23,59.0,93,75,18.34
252,Caravelas,BR,2020-04-20 01:38:04,-17.71,-39.25,74.89,78,15,13.18
253,Harnoli,PK,2020-04-20 01:38:04,32.28,71.55,75.06,43,100,8.03
254,Bodden Town,KY,2020-04-20 01:38:04,19.28,-81.25,82.4,83,20,3.36
255,Nivala,FI,2020-04-20 01:38:04,63.92,24.97,36.0,85,100,5.01
256,Raudeberg,NO,2020-04-20 01:38:04,61.99,5.14,39.99,86,0,5.82
257,Tilichiki,RU,2020-04-20 01:38:05,60.47,166.1,17.91,90,100,16.71
258,Greymouth,NZ,2020-04-20 01:38:05,-42.47,171.2,53.69,76,89,3.02
259,Hovd,MN,2020-04-20 01:38:05,48.01,91.64,45.28,26,0,3.13
260,Pedernales,DO,2020-04-20 01:38:05,18.04,-71.74,77.56,70,0,7.83
261,Athabasca,CA,2020-04-20 01:38:05,54.72,-113.29,42.58,73,98,5.91
262,Dunedin,NZ,2020-04-20 01:38:05,-45.87,170.5,61.0,35,82,5.01
263,Victoria,HK,2020-04-20 01:35:24,22.29,114.16,82.0,85,22,5.01
264,Palestine,PS,2020-04-20 01:38:06,31.92,35.2,66.99,82,75,6.93
265,Lazaro Cardenas,MX,2020-04-20 01:38:06,17.96,-102.2,75.0,87,34,2.57
266,Kodiak,US,2020-04-20 01:35:51,57.79,-152.41,48.2,76,90,11.41
267,Tulun,RU,2020-04-20 01:38:06,54.56,100.58,35.73,54,0,5.68
268,Oloron-Sainte-Marie,FR,2020-04-20 01:38:06,43.19,-0.61,55.4,100,90,5.82
269,Sinnamary,GF,2020-04-20 01:38:07,5.38,-52.95,78.67,86,100,14.65
270,Eyl,SO,2020-04-20 01:38:07,7.98,49.82,83.28,72,98,6.33
271,Sulphur,US,2020-04-20 01:38:07,30.24,-93.38,77.0,88,75,9.17
272,Dalvik,IS,2020-04-20 01:38:08,65.97,-18.53,44.6,70,20,26.4
273,Sioux Lookout,CA,2020-04-20 01:38:08,50.1,-91.92,35.6,50,90,13.87
274,Barabai,ID,2020-04-20 01:38:08,-2.58,115.38,91.27,53,44,2.71
275,Mangan,IN,2020-04-20 01:38:08,27.52,88.53,76.95,25,61,2.73
276,Praia,CV,2020-04-20 01:38:08,14.92,-23.51,69.8,68,40,18.34
277,Naryan-Mar,RU,2020-04-20 01:38:08,67.67,53.09,30.79,98,95,6.91
278,Santa Isabel Do Rio Negro,BR,2020-04-20 01:38:09,-0.41,-65.02,74.32,88,41,1.63
279,San Patricio,MX,2020-04-20 01:35:50,19.22,-104.7,75.2,78,5,17.22
280,General Roca,AR,2020-04-20 01:38:09,-39.03,-67.58,64.4,42,74,5.82
281,Massaguet,TD,2020-04-20 01:38:09,12.48,15.44,86.0,12,79,3.36
282,Brattleboro,US,2020-04-20 01:38:09,42.85,-72.56,46.69,80,100,6.96
283,Mmabatho,ZA,2020-04-20 01:38:10,-25.85,25.63,55.4,76,0,3.36
284,Isangel,VU,2020-04-20 01:34:03,-19.55,169.27,82.4,83,90,14.52
285,Moron,AR,2020-04-20 01:36:05,-34.65,-58.62,66.0,83,0,5.91
286,Saint-Pierre,RE,2020-04-20 01:38:10,-21.34,55.48,73.4,78,20,12.75
287,Narsaq,GL,2020-04-20 01:38:10,60.92,-46.05,24.8,41,1,6.93
288,Bafra,TR,2020-04-20 01:38:10,41.57,35.91,42.8,93,93,3.36
289,Yaguajay,CU,2020-04-20 01:38:11,22.33,-79.24,78.08,75,20,8.99
290,Roald,NO,2020-04-20 01:38:11,62.58,6.13,39.2,93,0,8.05
291,Rjukan,NO,2020-04-20 01:38:11,59.88,8.59,37.0,74,1,7.0
292,Swan River,CA,2020-04-20 01:38:11,52.11,-101.27,32.49,79,82,10.78
293,Grand Gaube,MU,2020-04-20 01:38:11,-20.01,57.66,77.0,83,75,12.75
294,Kathmandu,NP,2020-04-20 01:37:07,27.72,85.32,59.0,77,20,2.24
295,Hwange,ZW,2020-04-20 01:38:12,-18.37,26.5,62.64,53,15,2.77
296,Te Anau,NZ,2020-04-20 01:38:12,-45.42,167.72,53.29,54,23,7.65
297,Ha Giang,VN,2020-04-20 01:34:18,22.83,104.98,85.55,63,64,5.21
298,Bichena,ET,2020-04-20 01:38:12,10.45,38.2,57.15,26,99,2.68
299,Nosy Varika,MG,2020-04-20 01:38:12,-20.58,48.53,72.16,86,66,5.48
300,Bambous Virieux,MU,2020-04-20 01:38:12,-20.34,57.76,77.0,83,75,12.75
301,Napoleon,US,2020-04-20 01:38:13,41.39,-84.13,48.2,49,75,6.93
302,Riviere-Du-Loup,CA,2020-04-20 01:35:11,47.83,-69.53,35.1,86,100,9.13
303,Pacific Grove,US,2020-04-20 01:36:31,36.62,-121.92,59.0,80,54,1.01
304,Daru,PG,2020-04-20 01:38:13,-9.08,143.21,83.68,79,54,9.33
